X,Y,R,G,B,Temperature_C
0,217,231,23,69,1306.6336633663366
0,218,231,23,69,1305.7425742574258
0,219,231,23,69,1304.851485148515
0,220,231,22,67,1303.960396039604
0,221,231,22,67,1303.069306930693
0,222,231,22,67,1302.1782178217823
0,223,231,22,67,1301.2871287128712
0,224,231,22,65,1300.3960396039604
0,225,231,22,65,1299.5049504950496
0,226,231,22,65,1298.6138613861385
0,227,231,22,65,1297.7227722772277
0,228,231,23,63,1296.8316831683169
0,229,231,23,63,1295.9405940594058
0,230,231,23,63,1295.049504950495
0,231,231,23,63,1294.1584158415842
0,232,231,23,61,1293.2673267326732
0,233,231,23,61,1292.3762376237623
0,234,231,23,61,1291.4851485148515
0,235,231,23,61,1290.5940594059407
0,236,231,24,60,1289.7029702970297
0,237,231,24,60,1288.8118811881188
0,238,231,24,60,1287.920792079208
0,239,231,24,60,1287.029702970297
0,240,231,24,60,1286.1386138613861
0,241,231,24,59,1285.2475247524753
0,242,231,24,59,1284.3564356435643
0,243,231,24,59,1283.4653465346535
0,244,231,24,59,1282.5742574257426
0,245,231,25,57,1281.6831683168316
0,246,231,25,57,1280.7920792079208
0,247,231,25,57,1279.90099009901
0,248,231,25,57,1279.0099009900991
0,249,231,26,56,1278.118811881188
0,250,231,26,56,1277.2277227722773
0,251,231,26,56,1276.3366336633662
0,252,231,26,56,1275.4455445544554
0,253,231,27,55,1274.5544554455446
0,254,231,27,55,1273.6633663366338
0,255,231,27,55,1272.7722772277227
0,256,231,27,55,1271.881188118812
0,257,231,29,54,1270.9900990099009
0,258,231,29,54,1270.09900990099
0,259,231,29,54,1269.2079207920792
0,260,231,29,54,1268.3168316831684
0,261,231,29,54,1267.4257425742574
0,262,231,31,53,1266.5346534653465
0,263,231,31,53,1265.6435643564357
0,264,231,31,53,1264.7524752475247
0,265,231,31,53,1263.8613861386139
0,266,231,34,52,1262.970297029703
0,267,231,34,52,1262.079207920792
0,268,231,34,52,1261.1881188118812
0,269,231,34,52,1260.2970297029703
0,270,231,36,51,1259.4059405940593
0,271,231,36,51,1258.5148514851485
0,272,231,36,51,1257.6237623762377
0,273,231,36,51,1256.7326732673266
0,274,231,39,50,1255.8415841584158
0,275,231,39,50,1254.950495049505
0,276,231,39,50,1254.059405940594
0,277,231,39,50,1253.1683168316831
0,278,231,39,50,1252.2772277227723
0,279,231,43,49,1251.3861386138615
0,280,231,43,49,1250.4950495049504
0,281,231,43,49,1249.6039603960396
0,282,231,43,49,1248.7128712871286
0,283,231,47,47,1247.8217821782177
0,284,231,47,47,1246.930693069307
0,285,231,47,47,1246.039603960396
0,286,231,47,47,1245.1485148514853
0,287,231,51,46,1244.2574257425742
0,288,231,51,46,1243.3663366336634
0,289,231,51,46,1242.4752475247524
0,290,231,51,46,1241.5841584158416
0,291,231,56,44,1240.6930693069307
0,292,231,56,44,1239.80198019802
0,293,231,56,44,1238.9108910891089
0,294,231,56,44,1238.019801980198
0,295,231,60,43,1237.128712871287
0,296,231,60,43,1236.2376237623762
0,297,231,60,43,1235.3465346534654
0,298,231,60,43,1234.4554455445545
0,299,231,60,43,1233.5643564356435
0,300,231,65,42,1232.6732673267327
0,301,231,65,42,1231.7821782178219
0,302,231,65,42,1230.8910891089108
0,303,231,65,42,1230.0
0,304,231,69,40,1229.1089108910892
0,305,231,69,40,1228.2178217821784
0,306,231,69,40,1227.3267326732673
0,307,231,69,40,1226.4356435643565
0,308,231,74,39,1225.5445544554455
0,309,231,74,39,1224.6534653465346
0,310,231,74,39,1223.7623762376238
0,311,231,74,39,1222.871287128713
0,312,231,79,38,1221.980198019802
0,313,231,79,38,1221.0891089108911
0,314,231,79,38,1220.19801980198
0,315,231,79,38,1219.3069306930693
0,316,231,84,37,1218.4158415841584
0,317,231,84,37,1217.5247524752476
0,318,231,84,37,1216.6336633663366
0,319,231,84,37,1215.7425742574258
0,320,231,84,37,1214.8514851485147
0,321,231,89,35,1213.960396039604
0,322,231,89,35,1213.069306930693
0,323,231,89,35,1212.1782178217823
0,324,231,89,35,1211.2871287128712
0,325,231,94,34,1210.3960396039604
0,326,231,94,34,1209.5049504950496
0,327,231,94,34,1208.6138613861385
0,328,231,94,34,1207.7227722772277
0,329,231,99,33,1206.8316831683169
0,330,231,99,33,1205.940594059406
0,331,231,99,33,1205.049504950495
0,332,231,99,33,1204.1584158415842
0,333,231,104,32,1203.2673267326732
0,334,231,104,32,1202.3762376237623
0,335,231,104,32,1201.4851485148515
0,336,231,104,32,1200.5940594059407
0,337,231,109,31,1199.7029702970297
0,338,231,109,31,1198.8118811881188
0,339,231,109,31,1197.9207920792078
0,340,231,109,31,1197.029702970297
0,341,231,109,31,1196.1386138613861
0,342,231,113,29,1195.2475247524753
0,343,231,113,29,1194.3564356435643
0,344,231,113,29,1193.4653465346535
0,345,231,113,29,1192.5742574257424
0,346,231,118,28,1191.6831683168316
0,347,231,118,28,1190.7920792079208
0,348,231,118,28,1189.90099009901
0,349,231,118,28,1189.0099009900991
0,350,231,122,27,1188.118811881188
0,351,231,122,27,1187.2277227722773
0,352,231,122,27,1186.3366336633662
0,353,231,122,27,1185.4455445544554
0,354,231,126,25,1184.5544554455446
0,355,231,126,25,1183.6633663366338
0,356,231,126,25,1182.7722772277227
0,357,231,126,25,1181.881188118812
0,358,231,126,25,1180.990099009901
0,359,231,130,24,1180.09900990099
0,360,231,130,24,1179.2079207920792
0,361,231,130,24,1178.3168316831684
0,362,231,130,24,1177.4257425742574
0,363,231,133,23,1176.5346534653465
0,364,231,133,23,1175.6435643564357
0,365,231,133,23,1174.7524752475247
0,366,231,133,23,1173.8613861386139
0,367,231,136,22,1172.970297029703
0,368,231,136,22,1172.0792079207922
0,369,231,136,22,1171.1881188118812
0,370,231,136,22,1170.2970297029703
0,371,231,139,22,1169.4059405940593
0,372,231,139,22,1168.5148514851485
0,373,231,139,22,1167.6237623762377
0,374,231,139,22,1166.7326732673268
0,375,231,142,21,1165.8415841584158
0,376,231,142,21,1164.950495049505
0,377,231,142,21,1164.059405940594
0,378,231,142,21,1163.1683168316831
0,379,231,142,21,1162.2772277227723
0,380,231,144,20,1161.3861386138615
0,381,231,144,20,1160.4950495049504
0,382,231,144,20,1159.6039603960396
0,383,231,144,20,1158.7128712871288
0,384,231,147,20,1157.8217821782177
0,385,231,147,20,1156.930693069307
0,386,231,147,20,1156.039603960396
0,387,231,147,20,1155.148514851485
0,388,231,149,19,1154.2574257425742
0,389,231,149,19,1153.3663366336634
0,390,231,149,19,1152.4752475247524
0,391,231,149,19,1151.5841584158416
0,392,230,151,19,1150.6930693069307
0,393,230,151,19,1149.80198019802
0,394,230,151,19,1148.9108910891089
0,395,230,151,19,1148.019801980198
0,396,230,153,18,1147.128712871287
0,397,230,153,18,1146.2376237623762
0,398,230,153,18,1145.3465346534654
0,399,230,153,18,1144.4554455445545
0,400,230,153,18,1143.5643564356435
0,401,230,155,18,1142.6732673267327
0,402,230,155,18,1141.7821782178216
0,403,230,155,18,1140.8910891089108
0,404,230,155,18,1140.0
0,405,229,158,17,1139.1089108910892
0,406,229,158,17,1138.2178217821781
0,407,229,158,17,1137.3267326732673
0,408,229,158,17,1136.4356435643565
0,409,229,160,16,1135.5445544554455
0,410,229,160,16,1134.6534653465346
0,411,229,160,16,1133.7623762376238
0,412,229,160,16,1132.871287128713
0,413,229,163,15,1131.980198019802
0,414,229,163,15,1131.0891089108911
0,415,229,163,15,1130.19801980198
0,416,229,163,15,1129.3069306930693
0,417,229,163,15,1128.4158415841584
0,418,228,165,15,1127.5247524752476
0,419,228,165,15,1126.6336633663366
0,420,228,165,15,1125.7425742574258
0,421,228,165,15,1124.851485148515
0,422,227,167,14,1123.960396039604
0,423,227,167,14,1123.069306930693
0,424,227,167,14,1122.1782178217823
0,425,227,167,14,1121.2871287128714
0,426,227,170,13,1120.3960396039604
0,427,227,170,13,1119.5049504950496
0,428,227,170,13,1118.6138613861385
0,429,227,170,13,1117.7227722772277
0,430,226,172,12,1116.8316831683169
0,431,226,172,12,1115.940594059406
0,432,226,172,12,1115.049504950495
0,433,226,172,12,1114.1584158415842
0,434,225,174,12,1113.2673267326732
0,435,225,174,12,1112.3762376237623
0,436,225,174,12,1111.4851485148515
0,437,225,174,12,1110.5940594059407
0,438,225,174,12,1109.7029702970297
0,439,225,175,11,1108.8118811881188
0,440,225,175,11,1107.9207920792078
0,441,225,175,11,1107.029702970297
0,442,225,175,11,1106.1386138613861
0,443,224,177,10,1105.2475247524753
0,444,224,177,10,1104.3564356435643
0,445,224,177,10,1103.4653465346535
0,446,224,177,10,1102.5742574257426
0,447,223,178,10,1101.6831683168316
0,448,223,178,10,1100.7920792079208
0,449,223,178,10,1099.90099009901
0,450,223,178,10,1099.0099009900991
